1,"17605 Commerce Dr. New Boston, MI 48164",New Boston,MI,48164,42.178616,-83.391231,400000,1.64
2,1638 Dolwick Dr.,Erlanger,KY,41018,39.056295,-84.622101,350000,1.68
3,8271 Anderson Ct,Odenton,MS,2111,39.096863,-76.692468,450000,1.68
4,3100 Waterfield Dr.,Garner,NC,27529,35.679414,-76.543442,350000,1.68
5,14 International Dr.,East Granby,CT,6026,41.927576,-72.712023,250000,1.79
6,"4055 Royal Dr. NW,",Kennesaw,GA,3014,34.051791,-84.607207,475000,1.68
7,1 Cermak Blvd.,St. Peters,MO,63376,38.808893,-90.642824,475000,1.64
8,3355 Mike Collins Dr.,Eagan,MN,55121,44.836107,-93.131175,400000,1.64
9,7600 American Way,"Groveland,",FL,34736,28.636731,-81.828262,400000,1.68
10,18251 E Petroleum Dr.,Baton Rouge,LA,70809,32.737928,-97.020135,345000,1.68
11,900 W Freeway St.,"Grand Prairie,",TX,75051,32.737928,-97.020135,350000,1.67
12,10252 E 51st Ave.,"Denver,",CO,80238,39.790167,-104.86922,350000,1.77
13,5216 W Mohave St.,Phoenix,AZ,85043,33.431574,-112.171835,300000,1.77
14,8005 South 266th St.,Kent,WA,98032,47.362422,-112.171751,475000,1.77
15,30852 San Antonio St.,Hayward,CA,94544,37.615432,-122.047669,500000,1.77
16,301 South Rockefeller Ave.,Ontario,CA,91761,34.061151,-117.553709,350000,1.77